Date,Open,High,Low,Close,Adj Close,Volume
2003-12-29,253.341003,261.089996,250.748001,259.174988,171.979111,7904642
2003-12-30,260.471985,262.122009,250.453995,253.813004,168.421097,11483436
2003-12-31,230.505997,262.505005,230.505997,261.238007,173.348083,14501070
2004-01-01,262.415985,265.421997,262.032990,262.858002,174.423019,8357500
2004-01-02,264.007996,269.252014,264.007996,265.569000,176.221954,8361106
2004-01-05,267.071991,267.778992,256.730011,260.148010,172.624786,12991436
2004-01-06,262.181000,264.125000,252.220993,254.313004,168.752869,11345951
2004-01-07,254.136993,261.562012,250.778000,260.265015,172.702408,15874453
2004-01-08,263.093994,265.127014,261.826996,263.270996,174.697083,7412681
2004-01-09,266.217010,267.808990,253.988998,260.441986,172.819855,13897734
2004-01-12,258.704010,263.299988,254.578995,261.649994,173.621460,11120369
2004-01-13,262.356995,265.480988,258.231995,264.656006,175.616135,9653276
2004-01-14,266.364990,272.257996,266.364990,268.928009,178.450867,10788701
2004-01-15,268.809998,275.085999,259.381012,262.122009,173.934647,12448312
2004-01-16,287.079010,288.846985,254.843994,257.289001,170.727646,13591780
2004-01-19,258.173004,270.195007,251.720993,268.545013,178.196701,18531851
2004-01-20,269.311005,273.053009,254.638000,260.000000,172.526535,19860569
2004-01-21,255.462997,263.006012,242.968994,246.063004,163.278473,16378622
2004-01-22,251.307999,254.813995,227.764999,233.186996,154.734406,24006460
2004-01-23,236.369003,253.194000,236.309998,250.895996,166.485474,15887295
2004-01-26,null,null,null,null,null,null
2004-01-27,252.811005,262.475006,251.042999,261.355988,173.426331,11829437
2004-01-28,260.471985,267.190002,253.134995,256.287994,170.063400,18303890
2004-01-29,260.765991,262.239990,251.102005,253.988998,168.537888,17669760
2004-01-30,255.815994,257.377991,236.988007,239.375000,158.840561,22509094
2004-02-02,null,null,null,null,null,null
2004-02-03,239.315994,242.143997,225.348999,227.322998,150.843262,21952787
2004-02-04,229.298004,245.679993,228.707993,244.854996,162.476868,24239151
2004-02-05,246.328003,249.863998,231.919998,235.985992,156.591751,24097242
2004-02-06,239.757996,244.561005,236.546005,243.559006,161.616928,17352242
